Date,Open,High,Low,Close,Adj Close,Volume
2021-11-08,48.610001,48.790001,47.599998,48.330002,48.330002,57423300
2021-11-09,48.330002,48.380001,47.150002,47.299999,47.299999,29920400
2021-11-10,47.400002,49.209999,47.400002,49.020000,49.020000,42696200
2021-11-11,49.230000,50.500000,48.730000,50.180000,50.180000,42370400
2021-11-12,50.419998,50.490002,49.570000,49.730000,49.730000,27766700
2021-11-15,49.730000,50.099998,49.369999,49.650002,49.650002,27763200
2021-11-16,49.470001,50.160000,48.889999,49.599998,49.599998,31297200
2021-11-17,49.939999,51.090000,49.689999,50.869999,50.869999,36889800
2021-11-18,51.099998,51.709999,50.610001,51.410000,51.410000,32872600
2021-11-19,51.959999,52.840000,50.680000,50.799999,50.799999,47966200
2021-11-22,50.950001,51.470001,50.380001,51.200001,51.200001,27287900
2021-11-23,50.580002,51.450001,50.299999,51.080002,51.080002,24946200
2021-11-24,51.180000,51.330002,50.709999,50.889999,50.889999,18556800
2021-11-26,54.040001,54.939999,53.250000,54.000000,54.000000,66561300
2021-11-29,55.150002,55.700001,52.110001,52.400002,52.400002,72660800
2021-11-30,52.310001,54.459999,51.910000,53.730000,53.730000,64598400
2021-12-01,52.470001,55.169998,51.860001,54.680000,54.680000,59810400
2021-12-02,53.820000,55.080002,52.770000,53.040001,53.040001,46361700
2021-12-03,53.709999,54.410000,53.099998,54.270000,54.270000,37544700
2021-12-06,53.779999,53.889999,51.250000,51.480000,51.480000,53724000
2021-12-07,51.250000,52.500000,50.400002,51.720001,51.720001,41575400
