Date,Open,High,Low,Close,Adj Close,Volume
2021-11-08,301.489990,311.000000,299.070007,308.040009,308.002289,50310100
2021-11-09,322.820007,323.100006,299.640015,306.570007,306.532471,64674600
2021-11-10,293.559998,308.500000,287.779999,294.589996,294.553925,63620600
2021-11-11,304.679993,305.899994,297.769989,303.899994,303.862793,33217200
2021-11-12,300.100006,306.799988,296.299988,303.899994,303.862793,41215100
2021-11-15,305.519989,306.440002,292.470001,300.250000,300.213226,38490900
2021-11-16,297.589996,303.899994,297.059998,302.029999,301.993011,26448400
2021-11-17,304.179993,305.089996,288.000000,292.609985,292.574158,42850800
2021-11-18,323.670013,327.600006,313.209991,316.750000,316.711212,78171100
2021-11-19,322.429993,330.880005,319.049988,329.850006,329.809631,53386700
2021-11-22,335.170013,346.470001,319.000000,319.559998,319.520874,75433500
2021-11-23,315.350006,323.600006,308.799988,317.459991,317.421112,53216300
2021-11-24,314.609985,328.549988,309.279999,326.739990,326.699982,43516200
2021-11-26,326.000000,327.100006,313.500000,315.029999,314.991425,28306900
2021-11-29,323.660004,334.119995,320.359985,333.760010,333.719147,45496400
2021-11-30,331.690002,333.529999,318.640015,326.760010,326.720001,62206600
2021-12-01,332.190002,332.890015,313.799988,314.350006,314.350006,48436800
2021-12-02,312.140015,324.779999,310.250000,321.260010,321.260010,47289000
2021-12-03,320.000000,321.290009,301.299988,306.929993,306.929993,54382300
2021-12-06,298.799988,302.410004,280.380005,300.369995,300.369995,65893800
2021-12-07,309.570007,324.489990,306.510010,324.269989,324.269989,59305300
