Date,Open,High,Low,Close,Adj Close,Volume
2021-11-08,513.409973,513.409973,500.200012,503.809998,503.809998,2834800
2021-11-09,505.119995,509.100006,504.059998,508.709991,508.709991,1881800
2021-11-10,508.260010,510.359985,503.769989,505.510010,505.510010,1226600
2021-11-11,506.200012,512.500000,504.040009,512.179993,512.179993,1227300
2021-11-12,514.250000,519.659973,513.229980,517.169983,517.169983,1779500
2021-11-15,518.489990,523.099976,518.010010,519.890015,519.890015,1392300
2021-11-16,519.840027,528.299988,517.409973,526.719971,526.719971,1690700
2021-11-17,527.500000,530.739990,524.510010,526.289978,526.289978,1609400
2021-11-18,528.159973,530.799988,522.489990,529.369995,529.369995,1664200
2021-11-19,534.080017,535.280029,528.010010,533.789978,533.789978,1909800
2021-11-22,533.320007,545.419983,532.320007,539.650024,539.650024,2190500
2021-11-23,537.960022,545.820007,533.770020,545.260010,545.260010,2147000
2021-11-24,545.539978,550.830017,543.320007,549.729980,549.729980,2316400
2021-11-26,549.549988,554.549988,544.309998,546.130005,546.130005,1844800
2021-11-29,546.130005,560.780029,542.409973,554.880005,554.880005,2919100
2021-11-30,551.000000,557.169983,535.890015,539.380005,539.380005,4244200
2021-12-01,543.099976,548.250000,529.400024,529.840027,529.840027,2877100
2021-12-02,518.510010,530.909973,514.039978,525.510010,525.510010,3277500
2021-12-03,529.989990,537.500000,524.770020,528.929993,528.929993,2982300
2021-12-06,532.250000,536.049988,527.570007,533.200012,533.200012,2432900
2021-12-07,538.250000,543.000000,534.710022,542.020020,542.020020,2579800
