Date,Open,High,Low,Close,Adj Close,Volume
2021-11-08,650.289978,656.000000,643.789978,651.450012,651.450012,2887500
2021-11-09,653.700012,660.500000,650.520020,655.989990,655.989990,2415600
2021-11-10,653.010010,660.330017,642.109985,646.909973,646.909973,2405800
2021-11-11,650.239990,665.820007,649.710022,657.580017,657.580017,2868300
2021-11-12,660.010010,683.340027,653.820007,682.609985,682.609985,4192700
2021-11-15,681.239990,685.260010,671.489990,679.330017,679.330017,2872200
2021-11-16,678.270020,688.359985,676.900024,687.400024,687.400024,2077400
2021-11-17,690.000000,700.989990,686.090027,691.690002,691.690002,2732800
2021-11-18,691.609985,691.739990,679.739990,682.020020,682.020020,2012900
2021-11-19,692.349976,694.159973,675.000000,678.799988,678.799988,2613700
2021-11-22,676.020020,679.479980,656.469971,659.200012,659.200012,2764400
2021-11-23,658.179993,666.429993,646.049988,654.059998,654.059998,2320200
2021-11-24,658.010010,661.440002,651.099976,658.289978,658.289978,1867300
2021-11-26,675.000000,676.409973,660.669983,665.640015,665.640015,2872500
2021-11-29,663.200012,667.989990,658.289978,663.840027,663.840027,2529400
2021-11-30,668.200012,675.380005,640.010010,641.900024,641.900024,5608900
2021-12-01,649.479980,654.520020,617.070007,617.770020,617.770020,3882800
2021-12-02,617.099976,625.359985,612.880005,616.469971,616.469971,3331100
2021-12-03,622.750000,625.500000,594.000000,602.130005,602.130005,4825200
2021-12-06,606.010010,617.289978,601.000000,612.690002,612.690002,3075700
2021-12-07,619.830017,628.890015,611.400024,625.580017,625.580017,3125200
